Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
Wemade,"Seongnam, South Korea",Asia,-,CVC,Multi-stage,"WEMIX ecosystem, blockchain gaming",Henry Chang (ex-CEO),Lightscale (Kroma L2),,Track,K,,verify
WestCap,"New York, USA",NYC,HQ,Growth equity,Growth,growth equity; fintech/crypto platforms,Laurence Tosi,"NYDIG, Celsius",~$7B AUM,Track,K
Western Union (strategic),"Denver, USA",US West,-,CVC,Growth,remittance-adjacent crypto stakes,,Digital Currency Group,,Track,K,,verify
Whampoa Digital,Singapore,Asia,-,Family office,Seed/A,family office digital asset arm,Amy Lee,,~$100M web3 fund,Track,K,,verify
Wharton Cypher Accelerator,"Philadelphia, USA",US East,-,Accelerator,Pre-seed/seed,Wharton Stevens Center web3 accelerator,Sarah Hammer,,,Track,K
White Star Capital (Digital Asset Fund),"London, UK",UK,Office,Generalist w/ crypto,Seed/A,Dedicated digital asset fund,Sep Alavi,,,Track,K
Wintermute Ventures,"London, UK",UK,Verify,CVC,Seed/A,"DeFi, trading & market infrastructure",Evgeny Gaevoy,,,Track,K
WisdomTree (strategic),"New York, USA",NYC,HQ,Asset-manager strategic,Seed/A,"tokenization, blockchain-native fund infra","Jonathan Steinberg, Will Peck",Securrency,,Track,K
Wolf,"New York, USA",NYC,HQ,Accelerator,Pre-seed/seed,Bitcoin and Lightning startup accelerator,Kelly Brewster,,,Track,K,,verify
WOO Ventures,"Taipei, Taiwan",Asia,-,Exchange/liquidity network venture arm,"Seed, token","WOO ecosystem, returns shared with stakers",Jack Tan (WOO co-founder),,,Track,K,,verify
Woodstock Fund,"Mumbai, India",Asia,-,Liquid + venture,Pre-seed/seed,multi-asset: early-stage + liquid tokens,"Pranav Sharma, Himanshu Yadav",,,Track,K,,verify
Woori Technology Investment,"Seoul, South Korea",Asia,-,Generalist w/ crypto,Multi-stage,"listed VC, large Dunamu/Upbit stake",,Dunamu (~7% stake),,Track,K
World Foundation (Worldcoin),Remote,Global,-,Ecosystem fund,Pre-seed/seed,"World Chain L2, WLD ecosystem grants","Sam Altman, Alex Blania",,,Track,K,,verify
Wormhole Foundation,Remote,Global,-,Ecosystem foundation,Grants,Wormhole interoperability ecosystem,"Robinson Burkey (co-founder), Dan Reecer",,,Track,K
XAnge,"Paris, France",Europe,-,Generalist w/ crypto,Pre-seed/seed,"Generalist, early Ledger backer (web3 fund wound down)","Cyril Bertrand, Luc Jodet",Ledger,~€700M AUM,Track,K
XBTO Group (XBTO Ventures),"Miami, USA",US South,Office,Liquid + venture,Seed/A,"crypto market infrastructure, trading-adjacent venture",Philippe Bekhazi,,,Track,K,,verify
XSpring Capital,"Bangkok, Thailand",Asia,-,digital-asset financial group,strategic/growth,digital asset business lines; ICO portal,,SiriHub Token (via XSpring Digital),,Track,K,,verify
XVC Tech,"Dubai, UAE",MEA,-,VC (XDC founders),seed-Series A,"XDC ecosystem, RWA and trade finance","Atul Khekade, Ritesh Kakkad","Truflation, TradeTogether",~$125M,Track,K
Yield Guild Games,"Manila, Philippines",Asia,-,Ecosystem fund,Pre-seed/seed,"web3 gaming guild, game investments","Gabby Dizon, Beryl Li",,,Track,K
Yolo Investments,"Tallinn, Estonia",Europe,-,Generalist w/ crypto,Seed/A,"iGaming, crypto, blockchain, fintech",Tim Heath,,~€700m AUM,Track,K
Yuma,"Stamford, USA",US East,-,CVC,Pre-seed/seed,"Bittensor ecosystem, decentralized AI",Barry Silbert,Bittensor subnets,,Track,K
Zcash Foundation,Remote,US Remote,-,Ecosystem fund,Pre-seed/seed,Zcash privacy ecosystem grants,"Jack Gavigan, Josh Cincinnati","Zebra node, ZCG grants",,Track,K
Zee Prime Capital,"Bratislava, Slovakia",Europe,-,Crypto-native VC,Pre-seed/seed,"DePIN research-led, early-stage infra","Matti, Fiskantes",,,Track,K
Zerocap,"Melbourne, Australia",Oceania,-,Liquid + venture,Multi-stage,"digital asset wealth, trading, ventures",Ryan McCall,,,Track,K,,verify
Zilliqa (ZILHive),Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,Zilliqa L1 grants and acceleration,"Xinshu Dong, Amrit Kumar",,,Track,K,,verify
ZKV (Zero Knowledge Validator),"London, UK",UK,-,Validator + early-stage investor,Early,"ZK/privacy staking, grants, early investments","Anna Rose (ZK Podcast), Will Harborne",,,Track,K
ZKValidator,Remote,Europe,-,Validator / investor,Seed,ZK and privacy staking plus investing,"Anna Rose (co-founder, ZK Podcast)",,,Track,K,,verify
Zokyo,Remote,US Remote,-,Security firm / CVC,Pre-seed/Seed,Web3 security firm with venture arm,"Hartej Sawhney (founder, ex-Hosho)",,,Track,K,,verify
Zürcher Kantonalbank,"Zurich, Switzerland",Europe,-,Bank (strategic),Strategic,"Cantonal bank; crypto custody/trading, strategic stakes",,Metaco,,Track,K,,verify
A&T Capital,Singapore,Asia,-,Crypto-native VC,Seed/A,Early-stage infra; Ant Group pulled out 2023 (defunct/exited - verify),,"Matrixport, ConsenSys",~$100M,Exclude,K,,verify
ABCDE Capital,Hong Kong,Asia,-,Crypto-native VC,Seed/A,Web3 infrastructure (paused new deals 2025) (defunct/exited - verify),"Du Jun, BMAN (Huang He)",,~$400M,Exclude,K,,verify
Adamant Capital,"Austin, USA",US Central,-,Liquid fund,Liquid,Bitcoin alpha fund (defunct) (defunct/exited - verify),Tuur Demeester,,,Exclude,K,,verify
Alameda Research Ventures,Hong Kong,Asia,-,Prop trading venture arm,"Seed-Growth, token",Prop desk venture bets (defunct) (defunct/exited - verify),Sam Bankman-Fried; Caroline Ellison,"Maps.me, Oxygen, AscendEX",,Exclude,K,,verify
Alpha Venture DAO,"Bangkok, Thailand",Asia,-,Venture DAO,Build + invest,DeFi venture building and investing (defunct),Tascha Punyaneramitdee (founder),,,Exclude,K,,verify
AlphaCode (Rand Merchant Investments),"Johannesburg, South Africa",MEA,-,CVC,Seed/A,fintech CVC; Luno backer (exited crypto) (defunct/exited - verify),Dominique Collett,"Luno, Entersekt, Prodigy Finance",,Exclude,K,,verify
Atelier Ventures,"San Francisco, USA",US West,-,Creator-economy VC,Pre-seed/seed,"passion economy, creator tools (merged into Variant) (defunct/exited - verify)",Li Jin,"Stir, PearPop",~$13M,Exclude,K,,verify
ATOM Accelerator DAO (AADAO),Remote,Global,-,DAO grants fund,Grants,Cosmos Hub ecosystem grants (defunct) (defunct/exited - verify),Youssef Amrani (contributor/lead),,~$8M ATOM community-pool allocation,Exclude,K,,verify
Autonomous Partners,"San Francisco, USA",US West,-,Liquid + venture,Seed/A,crypto hedge/venture hybrid (defunct/exited - verify),Arianna Simpson,,,Exclude,K,,verify
Blockchain for India Fund (Binance x WazirX),"Mumbai, India",Asia,-,Ecosystem fund,Seed/A,"India blockchain adoption, token fund (dormant) (defunct/exited - verify)",Nischal Shetty,,~$50M,Exclude,K,,verify
Blockchain Global,"Melbourne, Australia",Oceania,-,Crypto-native VC,Seed/A,"crypto incubation, exchanges (defunct) (defunct/exited - verify)","Sam Lee, Ryan Xu",ACX exchange (collapsed),,Exclude,K,,verify
Brevan Howard Digital,UK / Austin,Europe,-,"Liquid, minority venture",Mostly liquid,Shifting to stablecoins/infra,-,-,Large; -29.5% in 2025,Exclude,R,,Door: Not a venture target; From research
Cambrial Capital,"London, UK",UK,-,FoF,Multi-stage,crypto fund-of-funds (defunct 2020) (defunct/exited - verify),David Fauchier,,,Exclude,K,,verify
CDPQ,"Montreal, Canada",Canada,Office,Pension fund,Growth,pension; Celsius loss (exited crypto) (defunct/exited - verify),Charles Emond,Celsius (written off),~C$450B AUM,Exclude,K,,verify
Centrality,"Auckland, New Zealand",Oceania,-,Venture studio,Studio,blockchain venture studio (evolved into Futureverse) (defunct/exited - verify),Aaron McDonald,"Sylo, Centrapay",,Exclude,K,,verify
Ceyuan Ventures,"Beijing, China",Asia,-,Generalist w/ crypto,Seed/A,Legacy VC; Dragonfly lineage (exited crypto),Bo Feng,OKCoin,,Exclude,K
Chain Partners,"Seoul, South Korea",Asia,-,Accelerator,Pre-seed/seed,crypto company builder (wound down) (defunct/exited - verify),Simon Cheolmin Pyo,DAYBIT exchange (built),,Exclude,K,,verify
Cofound.it,"Ljubljana, Slovenia",Europe,-,Accelerator,Pre-seed/seed,ICO curation and accelerator (defunct) (defunct/exited - verify),"Jan Isakovic, Daniel Zakrisson",,,Exclude,K,,verify
Cowen (Cowen Digital),"New York, USA",NYC,HQ,Brokerage strategic,Growth,Institutional crypto custody stakes (defunct) (defunct/exited - verify),"Drew Forman (ex-head, Cowen Digital)",PolySign ($25M investment),~$25M PolySign stake,Exclude,K,,verify
Cryptic Labs,"Palo Alto, USA",US West,-,Research accelerator,Accelerator,Blockchain security/crypto-economics accelerator (defunct) (defunct/exited - verify),Whitfield Diffie (Chief Scientist),,,Exclude,K,,verify
Distributed Ventures (Bank Frick),"Balzers, Liechtenstein",Europe,-,Corporate VC,Seed/Early,Bank Frick's fintech and blockchain venture arm (defunct/exited - verify),Arm of Bank Frick (CEO Edi Wögerer),,,Exclude,K,,verify
Divergence Ventures,Remote,US Remote,-,Micro crypto fund,Seed,DeFi seed checks; 2021 Sybil scandal (defunct/exited - verify),,"Ribbon Finance, Charm, Lyra, Saddle",,Exclude,K,,verify
dlab (SOSV),"New York, USA",NYC,HQ,Accelerator,Pre-seed/seed,SOSV blockchain accelerator (defunct) (defunct/exited - verify),Nick Plante,,,Exclude,K,,verify
Dream Capital,"Mumbai, India",Asia,-,CVC,Seed/A,"sports NFT/web3, Dream Sports arm (wound down) (defunct/exited - verify)",Harsh Jain,Rario,~$250M,Exclude,K,,verify
EduDAO,Remote,Global,-,Ecosystem fund,Pre-seed/seed,BitDAO vehicle funding university blockchain orgs (defunct/exited - verify),,,~$33M budget,Exclude,K,,verify
Enjin (Efinity Metaverse Fund),Singapore,Asia,-,Corporate ecosystem fund,Grants/early,Efinity NFT gaming ecosystem fund (defunct/exited - verify),"Maxim Blagov, Witek Radomski",,~$100M,Exclude,K,,verify
EOS VC (Block.one),"Grand Cayman, Cayman Islands",LatAm,-,CVC,Multi-stage,EOSIO ecosystem via partner funds (defunct) (defunct/exited - verify),Brendan Blumer,Galaxy EOS VC Fund (partner),~$1B committed,Exclude,K,,verify
Ether Capital,"Toronto, Canada",Canada,-,Liquid + venture,Liquid,"ETH treasury, staking, ecosystem stakes (defunct/exited - verify)",Brian Mosoff,"MakerDAO (MKR), Wyre stake",,Exclude,K,,verify
FinLab EOS VC Europe,"Frankfurt, Germany",Europe,-,Ecosystem fund,Seed/A,EOSIO ecosystem JV with Block.one (legacy) (defunct/exited - verify),Stefan Schuetze,Upland,~$100M,Exclude,K,,verify
First Block Capital,"Vancouver, Canada",Canada,-,Crypto-native VC,Liquid,"FBC Bitcoin Trust, crypto funds (defunct) (defunct/exited - verify)","Sean Clark, Marc van der Chijs",,,Exclude,K,,verify
Foundry Group,"Boulder, USA",US West,-,Generalist w/ crypto,Multi-stage,generalist; select web3 deals; winding down (defunct/exited - verify),"Brad Feld, Seth Levine",Coherent,~$500M final fund,Exclude,K,,verify
FTX Ventures,"Nassau, Bahamas",LatAm,-,CVC,Multi-stage,"multi-stage crypto, gaming (defunct) (defunct/exited - verify)",Amy Wu,"LayerZero, Aptos",~$2B,Exclude,K,,verify
GBV Capital (Genesis Block Ventures),Hong Kong,Asia,-,Crypto-native VC,Seed/A,"Web3 gaming, DeFi (activity unclear post-2022) (defunct/exited - verify)",Wincent Hung,,,Exclude,K,,verify
Harmony,"Palo Alto, USA",US West,-,Ecosystem fund,Pre-seed/seed,Harmony ecosystem grants (diminished post-2022 hack) (defunct/exited - verify),Stephen Tse,,~$300M ecosystem fund (2021),Exclude,K,,verify
HTC (Exodus strategic),"New Taipei, Taiwan",Asia,-,corporate strategic,strategic,blockchain phone maker; strategic bets (dormant) (defunct/exited - verify),Phil Chen (Decentralized Chief Officer),Bitmark,,Exclude,K,,verify
Iconic Holding,"Frankfurt, Germany",Europe,-,Crypto-native VC,Pre-seed/seed,Crypto asset management plus accelerator (Iconic Lab) (defunct/exited - verify),"Patrick Lowry, Max Lautenschlaeger",,,Exclude,K,,verify
INBlockchain,"Beijing, China",Asia,-,Crypto-native VC,Pre-seed/seed,ICO-era token fund (defunct) (defunct/exited - verify),Li Xiaolai,,,Exclude,K,,verify
Incrypt Blockchain,"Mumbai, India",Asia,-,Crypto-native VC,Pre-seed/seed,"early India blockchain thesis, advocacy (wound down) (defunct/exited - verify)",Nitin Sharma,,,Exclude,K,,verify
Invictus Capital,"Cape Town, South Africa",MEA,-,Crypto asset manager,Liquid,tokenized crypto index funds (CRYPTO20); asset mgr (defunct/exited - verify),Daniel Schwartzkopff,,,Exclude,K,,verify
Krust Universe,Singapore,Asia,-,CVC (Kakao subsidiary),early/token,Kakao's Klaytn ecosystem investor (defunct) (defunct/exited - verify),Sangmin Seo (later Klaytn/Kaia Foundation head),,,Exclude,K,,verify
LedgerPrime,"New York, USA",NYC,HQ,Quant fund venture arm (FTX-owned),"Seed, token",Options quant fund venture bets (defunct) (defunct/exited - verify),Shiliang Tang (co-founder/CIO),,,Exclude,K,,verify
Luna Foundation Guard,Singapore,Asia,-,Ecosystem fund,Seed/A,Terra reserve and ecosystem (defunct) (defunct/exited - verify),Do Kwon,,~$3B BTC reserve (2022),Exclude,K,,verify
Luno Expeditions,"London, UK",UK,-,CVC,Pre-seed/seed,high-velocity fintech/crypto seeds (defunct) (defunct/exited - verify),Jocelyn Cheng,,,Exclude,K,,verify
Maelstrom,Hong Kong,Asia,-,Family office (Arthur Hayes),Liquid + seed,"DeFi, infra",Arthur Hayes,-,n/a,Exclude,K,,Door: Essays widely read; not a hiring door; Context/reading only
Medici Ventures,"Salt Lake City, USA",US West,-,CVC,Multi-stage,Overstock blockchain arm; converted to Pelion-managed fund (defunct/exited - verify),Jonathan Johnson,"tZERO, Bitt, GrainChain",~$45M fund,Exclude,K,,verify
Metapurse,Singapore,Asia,-,NFT fund,NFT acquisition,NFT patronage fund (quiet/defunct) (defunct/exited - verify),Vignesh Sundaresan (MetaKovan),"Beeple Everydays, B.20",,Exclude,K,,verify
MouseBelt Blockchain Accelerator,"San Francisco, USA",US West,-,Accelerator / university program,Pre-seed,Blockchain startups; UC campus blockchain programs (defunct/exited - verify),Ashlie Meredith (university program director),UCLA/UC Davis/UCSB initiatives; 60+ projects,~$40M deployed,Exclude,K,,verify
MState,"New York, USA",NYC,HQ,Studio/fund,Pre-seed/studio,enterprise blockchain studio and fund (defunct),Rob Bailey (CEO),,,Exclude,K,,verify
Nascent,Remote / US,Global,People (verify),Liquid + venture hybrid,Liquid-first,DeFi,Dan Elitzer,-,n/a,Exclude,K,,Door: Not a hiring door; Context only
NEM Foundation,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,NEM/Symbol L1 ecosystem (largely defunct) (defunct/exited - verify),Lon Wong,,,Exclude,K,,verify
Neural Capital,"San Francisco, USA",US West,-,Crypto hedge fund,Liquid tokens,crypto asset hedge fund (defunct) (defunct/exited - verify),Ari Nazir (managing partner),,,Exclude,K,,verify
New Alchemy,"Seattle, USA",US West,-,Studio/fund,Early/token,token strategy and investment (defunct),Peter Vessenes (co-founder),,,Exclude,K,,verify
NFT Investments plc,"London, UK",UK,-,Listed investment co,Pre-seed/seed,NFT startups and assets (defunct/exited - verify),"Jonathan Bixby, Mike Edwards",,~£35M IPO raise,Exclude,K,,verify
One River Digital,"Greenwich, USA",US East,-,Asset manager crossover,Liquid,macro to digital; acquired by Coinbase (defunct/exited - verify),Eric Peters,large BTC/ETH purchases 2020,~$2.5B digital AUM,Exclude,K,,verify
Ontario Teachers' Pension Plan,"Toronto, Canada",Canada,Verify,Pension fund,Growth,pension venture arm (exited crypto) (defunct/exited - verify),Jo Taylor,FTX (written off),~C$250B AUM,Exclude,K,,verify
Passion Capital,"London, UK",UK,-,Generalist w/ crypto,Pre-seed/seed,Early-stage fintech; UK bitcoin exchange (exited crypto),Eileen Burbidge,Coinfloor,,Exclude,K,,verify
Pithia,"Seattle, USA",US West,-,Ecosystem fund,Seed/A,RChain ecosystem investing (defunct) (defunct/exited - verify),Lawrence Lerner,"DigitalTown, Trusted Key",~$170M claimed,Exclude,K,,verify
Point72 Ventures,"Stamford, CT",US Metro,Metro,Exited crypto,AI/defense now,-,-,-,-,Exclude,R,,Door: No crypto VC; Team laid off Jun 2024
Prime Factor Capital,"London, UK",UK,-,Crypto hedge fund,Liquid tokens,FCA-authorised institutional crypto fund (defunct/exited - verify),"Nic Niedermowwe, Adam Grimsley (ex-BlackRock)",,,Exclude,K,,verify
Proof of Capital,"San Francisco, USA",US West,-,Crypto-native VC,Seed/A,HTC-backed blockchain fund (2019) (defunct/exited - verify),"Edith Yeung, Chris McCann, Phil Chen",,~$50M,Exclude,K,,verify
Protocol Ventures,"San Francisco, USA",US West,-,FoF,Multi-stage,fund of crypto hedge funds (status unclear) (defunct/exited - verify),Rick Marini,,,Exclude,K,,verify
Reinventure,"Sydney, Australia",Oceania,-,Fintech VC,Seed/A,Westpac-backed fintech; early Coinbase backer (defunct/exited - verify),"Danny Gilligan, Simon Cant",Coinbase,~A$150M,Exclude,K,,verify
Ruffer,"London, UK",UK,-,Asset manager crossover,Liquid,absolute return; 2020 BTC trade (exited crypto) (defunct/exited - verify),Jonathan Ruffer,bitcoin (~$750M 2020 position),~$27B AUM,Exclude,K,,verify
Scalar Capital,"San Francisco, USA",US West,-,Liquid + venture,Seed/A,"crypto assets, privacy tech (wound down) (defunct/exited - verify)","Linda Xie, Jordan Clifford",,,Exclude,K,,verify
Singulariteam,"Tel Aviv, Israel",MEA,-,Generalist w/ crypto,Seed/A,generalist + blockchain bets (largely dormant) (defunct/exited - verify),Moshe Hogeg,Sirin Labs,~$100M Fund II,Exclude,K,,verify
SoftBank Latin America Fund,"Miami, USA",US South,Verify,Generalist w/ crypto,Growth,LatAm growth tech incl. crypto exchanges (defunct/exited - verify),Marcelo Claure (fmr),Mercado Bitcoin,~$8B (two funds),Exclude,K,,verify
Split Capital,"New York, USA",NYC,HQ,liquid token hedge fund,liquid tokens,long-biased liquid token strategy (defunct) (defunct/exited - verify),"Zaheer Ebtikar (ex-LedgerPrime), Michael Churchouse",,~launched Jan 2024; wound down 2025,Exclude,K,,verify
State of Wisconsin Investment Board,"Madison, USA",US Central,-,State pension manager,Allocation (ETF),Spot Bitcoin ETF allocations (defunct/exited - verify),Edwin Denson,BlackRock IBIT; Grayscale GBTC positions,~$160M BTC ETFs,Exclude,K,,verify
SVB Capital,"San Francisco, USA",US West,-,CVC,Multi-stage,fintech funds + directs (parent bank failed 2023) (defunct/exited - verify),,Fireblocks,,Exclude,K,,verify
Syncracy Capital,"New York, NY",NYC,HQ,Liquid fund (NOT VC),Liquid tokens,Liquid crypto,"Ryan Watkins, Daniel Cheung",-,~$230M AUM,Exclude,R,,Door: Read the research; no VC roles; Network/research value only
TD Ameritrade (strategic),"Omaha, USA",US Central,-,Brokerage strategic,Growth,Crypto exchange infrastructure (defunct) (defunct/exited - verify),,ErisX (2018 strategic investment),,Exclude,K,,verify
Teachers' Venture Growth (OTPP),"Toronto, Canada",Canada,-,Pension VC arm,Growth,growth tech; FTX write-off (exited crypto) (defunct/exited - verify),Olivia Steedman,"FTX, FTX US",~C$250B pension parent,Exclude,K,,verify
Tendermint Ventures,"San Francisco, USA",US West,-,Corporate ecosystem fund,Early,Cosmos ecosystem fund (defunct) (defunct/exited - verify),Jae Kwon (Tendermint/All in Bits founder),Cosmos ecosystem projects,,Exclude,K,,verify
Terraform Labs,Singapore,Asia,-,Ecosystem fund,Seed/A,Terra L1 ecosystem (defunct) (defunct/exited - verify),"Do Kwon, Daniel Shin","Anchor Protocol, Mirror Protocol",~$150M ecosystem fund (2021),Exclude,K,,verify
Tetragon Financial Group,"St Peter Port, Guernsey",UK,Office,listed investment company,growth,diversified alternatives; led Ripple Series C (defunct/exited - verify),"Reade Griffith, Paddy Dear",Ripple ($175M Series C lead),~$2.8B NAV,Exclude,K,,verify
